jurisdiction_code,direction,kan_code,kou_name,kind,master_kan_code,master_kou_code,basis
132047,expenditure,01,,map,1,,款名「議会費」がマスタと一致
132047,expenditure,02,,map,2,,款名「総務費」がマスタと一致
132047,expenditure,03,,map,3,,款名「民生費」がマスタと一致
132047,expenditure,04,,map,4,,款名「衛生費」がマスタと一致
132047,expenditure,05,,map,5,,款名「労働費」がマスタと一致
132047,expenditure,06,,map,6,,原典の款名は「農林費」。マスタは「農林水産業費」。水産業費・林業費の項を持たない市の略称と読む。項「農業費」がマスタの款6の項と一致することが裏づけ
132047,expenditure,07,,map,7,,款名「商工費」がマスタと一致
132047,expenditure,08,,map,8,,款名「土木費」がマスタと一致
132047,expenditure,09,,map,9,,款名「消防費」がマスタと一致
132047,expenditure,10,,map,10,,款名「教育費」がマスタと一致
132047,expenditure,11,,map,12,,款名「公債費」。**コードは法定とずれる** — 法定の款11は災害復旧費で、災害復旧費を持たないため以降が詰まっている
132047,expenditure,12,,map,14,,款名「予備費」。法定の款14。災害復旧費（11）と諸支出金（13）を持たないため2つ詰まっている
132195,expenditure,1,,map,1,,款名「議会費」（決算書 PDF の見出しから解決）がマスタと一致
132195,expenditure,2,,map,2,,款名「総務費」がマスタと一致
132195,expenditure,3,,map,3,,款名「民生費」がマスタと一致
132195,expenditure,4,,map,4,,款名「衛生費」がマスタと一致
132195,expenditure,5,,map,5,,款名「労働費」がマスタと一致
132195,expenditure,6,,map,6,,PDF の款名は「農業費」。マスタは「農林水産業費」。林業費・水産業費の項を持たない市の略称と読む。項「農業費」がマスタの款6の項と一致することが裏づけ
132195,expenditure,7,,map,7,,款名「商工費」がマスタと一致
132195,expenditure,8,,map,8,,款名「土木費」がマスタと一致
132195,expenditure,9,,map,9,,款名「消防費」がマスタと一致
132195,expenditure,10,,map,10,,款名「教育費」がマスタと一致
132195,expenditure,11,,map,12,,款名「公債費」。**コードは法定とずれる** — 法定の款11は災害復旧費で、災害復旧費を持たないため以降が詰まっている
132195,expenditure,12,,map,13,,款名「諸支出金」。法定の款13
132195,expenditure,13,,map,14,,款名「予備費」。法定の款14
132047,expenditure,08,道路橋梁費,map,8,2,マスタの表記は「道路橋りよう費」。「梁」を仮名書きするかの表記差で同じ項
132195,expenditure,8,道路橋りょう費,map,8,2,マスタの表記は「道路橋りよう費」。拗音の大小の表記差で同じ項
132047,expenditure,10,スポーツ推進費,addition,10,,法定の項に無い。マスタの「保健体育費」に相当する領域を市が再編した区分と読めるが、同一と決める根拠が無いので追加として登録する（施行規則の備考1が行政権能の差による款・項の追加を認めている）
132047,expenditure,10,生涯学習費,addition,10,,法定の項に無い。マスタの「社会教育費」に相当する領域を市が再編した区分と読めるが、同一と決める根拠が無いので追加として登録する
132195,expenditure,10,幼児教育費,addition,10,,法定の項に無い。市の追加区分として登録する
132195,expenditure,12,基金費,addition,13,,法定の諸支出金の項（普通財産取得費・公営企業貸付金）に無い。市の追加区分として登録する
